---SAE UIC MOTORSPORTS---
---Version #: 1.7---
Message ID: 0x0005AE05

Time Stamp (Second(s)), Brake Temp FL (C)
14.3394,416.748
14.3504,405.273
14.3595,425.83
14.3695,408.093
14.3872,422.9
14.3895,417.688
14.4004,404.077
14.4095,422.705
14.4274,405.139
14.4295,413.464
14.4474,405.286
14.4504,404.565
14.4674,404.883
14.4695,404.834
14.4795,425.146
14.4895,405.603
14.5004,415.869
14.5095,407.239
14.5195,410.242
14.5295,417.261
14.5395,404.846
14.5503,417.09
14.5595,412.537
14.5694,407.861
14.5795,421.545
14.5895,404.419
14.6004,405.896
14.6095,419.824
14.6195,408.289
14.6294,404.565
14.6395,411.084
14.6504,418.249
14.6595,408.362
14.6695,406.445
14.6796,413.037
14.6896,416.638
14.7004,406.201
14.7096,404.028
14.7196,411.829
14.7296,412.769
14.7396,404.114
14.7506,402.905
14.7673,415.832
14.7695,409.79
14.7873,414.258
14.7895,415.112
14.8004,414.185
14.8095,415.662
14.8195,414.123
14.8295,416.919
14.8395,413.013
14.8494,407.959
14.8595,407.91
14.8695,409.119
14.8795,413.489
14.8896,422.29
14.8996,423.608
14.9094,413.293
14.9273,420.044
14.9304,413
14.9396,421.338
14.9496,424.206
14.9596,414.783
14.9696,408.557
14.9803,407.153
14.9895,414.819
14.9995,419.788
15.0095,420.386
15.0195,415.808
15.0304,413.892
15.0395,404.089
15.0495,413.428
15.0595,415.649
15.0695,421.948
15.0804,421.631
15.0895,412.793
15.0996,407.141
