---SAE UIC MOTORSPORTS---
---Version #: 1.7---
Message ID: 0x0005AE01

Time Stamp (Second(s)), Engine Speed (RPM), Throttle (%), Intake Temp (C), Coolant Temp (C), Vehicle Speed (KPH), Lambda #2, Battery Voltage (V)
3.1395,4618.35,26.1715,7,28,0,0,13.3866
3.1495,4710.54,25.7809,7,28,0,0,13.5751
3.1595,4643.35,26.1715,7,28,0,0,13.8893
3.1704,4667.96,26.1715,7,29,0,0,13.638
3.1795,4682.41,25.7809,7,29,0,0,13.8265
3.1895,4633.19,26.1715,7,28,0,0,13.638
3.1995,4698.82,26.1715,7,28,0,0,13.638
3.2095,4642.57,26.1715,6,28,0,0,13.8265
3.2203,4624.99,25.3903,6,28,0,0,13.8893
3.2295,4637.49,25.3903,7,28,0,0,14.0779
3.2395,4645.69,25.3903,7,28,0,0,13.7008
3.2495,4554.29,26.1715,7,29,0,0,13.7008
3.2595,4576.94,26.9528,7,28,0,0,13.7636
3.2703,4664.83,27.734,7,28,0,0,13.7008
3.2795,4603.9,28.1246,7,28,0,0,13.5123
3.2895,4667.18,28.9059,7,29,0,0,13.7008
3.2995,4658.19,28.9059,7,28,0,0,13.8893
3.3095,4843.74,29.2965,7,28,0,0,13.8265
3.3203,4757.8,29.2965,7,29,0,0,13.5751
3.3295,4816.4,29.6871,7,29,0,0,13.8893
3.3395,4861.32,29.2965,7,28,0,0,13.7636
3.3495,4860.93,29.6871,8,29,0,0,13.638
3.3595,4843.74,29.6871,7,29,0,0,13.7636
3.3703,4909.36,29.2965,7,29,0,0,13.638
3.3795,4945.3,29.6871,8,29,0,0,13.8265
3.3895,4886.32,30.859,7,29,0,0,13.638
3.3995,4958.19,31.2496,8,28,0,0,13.8893
3.4095,5039.05,31.2496,7,29,0,0,13.638
3.4295,5075.77,32.4215,8,28,0,0,14.015
3.4395,5088.66,31.6402,8,30,0,0,13.8265
3.4494,5166.39,32.0308,7,29,0,0,13.9522
3.4595,5188.66,32.4215,7,29,0,0,13.8893
3.4695,5223.82,32.0308,8,29,0,0,13.9522
3.4795,5296.08,32.4215,7,29,0,0,14.1407
3.4895,5219.91,32.0308,7,29,0,0,13.638
3.5004,5421.47,32.8121,7,29,0,0,13.8265
3.5095,5559.36,33.2027,7,30,0,0,13.8265
3.5272,5857.41,33.5933,7,29,0,0,14.1407
3.5295,5866.39,33.2027,7,29,0,0,13.9522
3.5472,6041,33.2027,6,29,0,0,14.015
3.5504,6112.49,33.2027,7,30,0,0,14.015
3.5595,6202.72,32.8121,7,30,0,0,13.8893
3.5696,6310.14,33.2027,8,29,0,0,14.0779
3.5796,6346.08,33.2027,7,29,0,0,13.8265
3.5896,6446.47,32.4215,8,30,0,0,13.8265
3.6004,6499.99,32.4215,7,30,0,0,13.5751
3.6096,6526.16,32.4215,7,30,0,0,13.9522
3.6196,6594.52,32.4215,7,29,0,0,13.638
3.6296,6713.27,32.8121,8,30,0,0,13.8893
3.6394,6666.78,33.2027,6,29,0,0,13.7008
3.6504,6825.77,31.2496,6,29,0,0,14.015
3.6595,6724.2,28.5153,8,30,0,0,13.8893
3.6695,6630.84,27.3434,7,30,0,0,13.8265
3.6795,6607.02,25.7809,7,30,0,0,14.0779
3.6895,6498.03,24.6091,8,30,0,0,14.1407
3.7002,6291.39,22.656,8,29,0,0,13.7008
3.7095,6460.92,22.2653,8,30,0,0,13.8265
3.7195,6219.52,21.4841,8,30,0,0,13.7008
3.7295,6075.38,20.7029,7,30,0,0,14.015
3.7395,6048.03,21.0935,7,30,0,0,13.9522
3.7503,5909.36,21.0935,7,29,0,0,13.638
3.7595,5756.24,21.0935,8,30,0,0,13.638
3.7695,5677.72,21.4841,8,29,0,0,13.7008
3.7796,5635.92,21.8747,8,30,0,0,13.5751
3.7896,5445.3,22.2653,6,29,0,0,13.7636
3.8004,5437.1,23.0466,7,29,0,0,13.8265
3.8096,5439.44,23.4372,7,29,0,0,14.2664
3.8196,5553.11,23.4372,8,30,0,0,13.9522
3.8296,5549.21,23.4372,7,30,0,0,13.7636
3.8396,5028.11,23.4372,7,30,0,0,14.015
3.8504,4971.47,23.0466,7,30,0,0,13.8893
3.8595,5165.22,23.0466,8,30,0,0,13.8265
3.8695,5250.38,23.4372,7,30,0,0,13.7008
3.8872,5007.41,23.8278,7,30,0,0,13.8893
3.8895,5033.19,23.4372,8,30,0,0,13.8893
3.9081,4980.85,23.8278,8,30,0,0,14.0779
3.9095,4983.58,23.8278,8,30,0,0,14.0779
3.9195,4890.61,23.8278,7,30,0,0,13.638
3.9295,4923.04,23.4372,8,31,0,0,13.7636
3.9394,4903.89,23.4372,7,30,0,0,13.7008
3.9506,4824.6,23.4372,8,30,0,0,13.7008
3.9595,4921.86,23.4372,8,30,0,0,13.638
3.9694,4804.29,24.2184,8,30,0,0,13.638
3.9796,4843.74,23.4372,8,30,0,0,14.015
3.9896,4869.91,23.4372,7,30,0,0,14.1407
